section,clause_number,clause_text,requirement_type
Changes to notifications ,62.6,"Where the Secretary of State has taken action in respect of a notified body or recognised third party organisation under paragraph (1) or (2), or where a notified body or recognised third party organisation has ceased its activity, the body must— (a) on the request of the Secretary of State, transfer its files relating to the activities it has undertaken as a notified body or recognised third party organisation to another notified body or recognised third party organisation or to the Secretary of State; or (b) in the absence of a request under sub-paragraph (a), ensure that its files relating to the activities it has undertaken as a notified body or recognised third party organisation are kept available for inspection by the Secretary of State and enforcing authorities for a period of 10 years from the date they were created",must
No Section Title,63.1,"Where the Secretary of State determines that a user inspectorate no longer meets the user inspectorate requirements, or that it is failing to fulfil its obligations under these Regulations, the Secretary of State must restrict, suspend or withdraw that body’s status as a user inspectorate under regulation 53",must
No Section Title,63.3,"In deciding what action is required under paragraph (1) or (2), the Secretary of State must have regard to the seriousness of the failure",must
No Section Title,63.4,"Before taking action under paragraph (1) or (2), the Secretary of State must— (a) give notice in writing that the Secretary of State intends to take such action and the reasons for taking such action; and (b) give the user inspectorate an opportunity to make representations within a reasonable period from the date of that notice and consider any such representations",must
No Section Title,63.5,"Where the Secretary of State takes action under paragraph (1) or (2), the Secretary of State must immediately inform the Commission and the other member States",must
No Section Title,63.6,"Where the Secretary of State has taken action under paragraph (1) or (2), or where the user inspectorate has ceased its activity, the body must— (a) on the request of the Secretary of State, transfer its files relating to the activities it has undertaken as a user inspectorate to another notified body or recognised third party organisation or to the Secretary of State; or  24(b) in the absence of a request under sub-paragraph (a), ensure that its files relating to the activities it has undertaken as a user inspectorate are kept available for the Secretary of State and enforcing authorities for a period of 10 years from the date they were created",must
"Operational matters in relation to notified bodies, recognised third party organisations and  user inspectorates ",64.1,"When a conformity assessment body carries out a relevant conformity assessment procedure, it must do so in accordance with Schedule 6 (operational obligations of notified bodies, recognised third parties and user inspectorates)",must
"Operational matters in relation to notified bodies, recognised third party organisations and  user inspectorates ",64.2,"A notified body must make provision for a manufacturer to be able to appeal against a refusal by the body— (a) to issue an EU-type examination certificate in relation to a conformity assessment procedure; or (b) to affix, or cause to be affixed, the body’s identification number pursuant to regulation 49 (CE marking)",must
Subsidiaries and contractors  ,65.2,"The notified body, recognised third party organisation or user inspectorate must— (a) ensure that the subcontractor or subsidiary meets the notified body requirements or user inspectorate requirements, as applicable; and (b) inform the Secretary of State accordingly",must
Subsidiaries and contractors  ,65.3,"The notified body, recognised third party organisation or user inspectorate must have obtained the agreement of the client to the use of a subcontractor or subsidiary",must
Subsidiaries and contractors  ,65.4,"Where a notified body, recognised third party organisation or user inspectorate subcontracts specific conformity assessment activities, or has such activities carried out by a subsidiary, the notified body, recognised third party organisation or user inspectorate must for a period of 10 years beginning on the day on which the activities are carried out, keep available for inspection by the Secretary of State the documentation concerning— (a) the assessment of the qualifications of the subcontractor or the subsidiary; and (b) the conformity assessment activities carried out by the subcontractor or subsidiary",must
Subsidiaries and contractors  ,65.5,"When monitoring a notified body, recognised third party organisation or user inspectorate in accordance with regulation 60, the Secretary of State must treat the notified body, recognised third party organisation or user inspectorate as responsible for the tasks performed by a subcontractor or subsidiary, wherever the subcontractor or subsidiary is established",must
Enforcement ,67.1,"Subject to paragraph (2), these Regulations and RAMS (in its application to pressure equipment or assemblies) must be enforced by the market surveillance authority",must
Enforcement ,67.3,"Before taking enforcement action under paragraph (2), an enforcing authority which is not the market surveillance authority must notify the market surveillance authority of the proposed action",must
Exercise of enforcement powers ,69," When enforcing these Regulations or RAMS (in its application to pressure equipment or assemblies) the enforcing authority must exercise its powers in a manner which is consistent with— (a) regulation 70 (evaluation of pressure equipment or assemblies presenting a risk); (b) regulation 71 (enforcement action in respect of pressure equipment or assemblies which are not in conformity and which present a risk); (c) regulation 72 (EU safeguard procedure); (d) regulation 73 (pressure equipment or assemblies which are in conformity, but present a risk); (e) regulation 74 (enforcement action in cases of formal non-compliance); (f) regulation 75 (restrictive measures). Evaluation of pressure equipment or assemblies presenting a risk   ",must
Evaluation of pressure equipment or assemblies presenting a risk  ,70.1,"Where the market surveillance authority has sufficient reason to believe that pressure equipment or an assembly presents a risk, the market surveillance authority must carry out an evaluation to determine whether that pressure equipment or assembly is in conformity with the requirements of Part 2 applying in respect of that equipment or assembly",must
Enforcement action in respect of pressure equipment or assemblies which are not in  conformity and which present a risk  ,71.1,"Where, in the course of an evaluation referred to in regulation 70, an enforcing authority finds that pressure equipment or an assembly is not in conformity with Part 2, it must, without delay, require a relevant economic operator to— (a) take all appropriate corrective action to bring the pressure equipment or assembly into conformity with those requirements within a prescribed period; (b) withdraw the pressure equipment or assembly within a prescribed period; or (c) recall the pressure equipment or assembly within a prescribed period",must
Enforcement action in respect of pressure equipment or assemblies which are not in  conformity and which present a risk  ,71.2,The enforcing authority must inform the notified body which carried out the conformity assessment procedure in respect of the pressure equipment or assembly of— (a) the respect in which the pressure equipment or assembly  is not in conformity with Part 2; and (b) the action which the enforcing authority has required the relevant economic operator to take,must
Enforcement action in respect of pressure equipment or assemblies which are not in  conformity and which present a risk  ,71.3,"Where the enforcing authority is not the Secretary of State and it considers that the lack of conformity referred to in paragraph (1) is not restricted to the United Kingdom, it must notify the Secretary of State of— (a) the results of the evaluation; and  (b) the actions which it has required the economic operator to take.                                                                                                                                             (a) S",must
Enforcement action in respect of pressure equipment or assemblies which are not in  conformity and which present a risk  ,71.4,"or otherwise considers that the lack of conformity referred to in paragraph (1) is not restricted to the United Kingdom, the Secretary of State must inform the European Commission and the other member States of— (a) the results of the evaluation; and (b) the action which the enforcing authority has required the economic operator to take",must
Enforcement action in respect of pressure equipment or assemblies which are not in  conformity and which present a risk  ,71.5,"Where the relevant economic operator does not take adequate corrective action within the prescribed period referred to in paragraph (1), the enforcing authority must take all appropriate measures to— (a) prohibit or restrict the pressure equipment or assembly being made available on the market in the United Kingdom; (b) withdraw the pressure equipment or assembly from the United Kingdom market; or (c) recall the pressure equipment or assembly",must
Enforcement action in respect of pressure equipment or assemblies which are not in  conformity and which present a risk  ,71.6,"Where the enforcing authority is not the Secretary of State and it takes measures under paragraph (5), it must notify the Secretary of State of those measures without delay",must
Enforcement action in respect of pressure equipment or assemblies which are not in  conformity and which present a risk  ,71.7,"Where the Secretary of State receives a notice under paragraph (6), or takes measures under paragraph (5), the Secretary of State must notify the European Commission and the other member States of those measures without delay",must
Enforcement action in respect of pressure equipment or assemblies which are not in  conformity and which present a risk  ,71.8,"The notices in paragraphs (6) and (7) must include all available details about the pressure equipment or assembly and, in particular— (a) the data necessary for the identification of the pressure equipment or assembly; (b) the origin of the pressure equipment or assembly; (c) the nature of the lack of conformity alleged and the risk involved; (d) the nature and duration of the measures taken; (e) the arguments put forward by the relevant economic operator; and (f) whether the lack of conformity is due to either of the following— (i) failure of the pressure equipment or assembly to meet relevant requirements relating to a risk; (ii) shortcomings in a harmonised standard referred to in regulation 40 conferring a presumption of conformity",must
EU safeguard procedure  ,72.1,"Where another member State has initiated the procedure under Article 40 of the Directive (as amended from time to time), each enforcing authority (other than the Secretary of State) must, without delay, inform the Secretary of State of— (a) any measures taken by the enforcing authority in respect of the pressure equipment or assembly which is the subject of the procedure; (b) any additional information which the enforcing authority has at its disposal relating to the lack of conformity of the pressure equipment or assembly",must
EU safeguard procedure  ,72.2,"Where another member State has initiated the procedure under Article 40 of the Directive (as amended from time to time), the Secretary of State must, without delay, inform the European Commission and the other member States of— (a) any measures taken by an enforcing authority in respect of the pressure equipment or assembly which is the subject of the procedure;  28(b) any additional information which an enforcing authority has at its disposal relating to the lack of conformity of the pressure equipment or assembly; and (c) any objections that the Secretary of State may have to the measure taken by the member State initiating the procedure",must
EU safeguard procedure  ,72.3,"Where a measure taken by another member State in respect of pressure equipment or an assembly is considered justified by the European Commission under Article 40(7) of the Directive (as amended from time to time), the market surveillance authority must ensure that appropriate measures, such as withdrawal, are taken in respect of the pressure equipment or assembly without delay",must
EU safeguard procedure  ,72.4,"Where a measure taken by another member State in respect of pressure equipment or an assembly is considered justified by the European Commission under Article 41(1) of the Directive (as amended from time to time), the market surveillance authority must take the necessary measures to ensure that the pressure equipment or assembly is withdrawn from the United Kingdom market",must
EU safeguard procedure  ,72.5,"Where the market surveillance authority has taken action under paragraph (3) or (4), it must notify the Secretary of State",must
EU safeguard procedure  ,72.6,"Where the Secretary of State receives a notice under paragraph (5), the Secretary of State must inform the European Commission of the action taken",must
EU safeguard procedure  ,72.7,"If a measure taken by an enforcing authority pursuant to regulation 71 is considered unjustified by the European Commission under Article 41(1) of the Directive (as amended from time to time), the enforcing authority must withdraw that measure",must
"Pressure equipment or assemblies which are in conformity, but present a risk ",73.1,"Where, having carried out an evaluation under regulation 70, an enforcing authority finds that although pressure equipment is in conformity with Part 2, it presents a risk, the enforcing authority must require a relevant economic operator to take all appropriate measures to— (a) ensure that the pressure equipment or assembly, when placed on the market, no longer presents a risk; (b) withdraw the pressure equipment or assembly within a prescribed period; (c) recall the pressure equipment or assembly within a prescribed period",must
"Pressure equipment or assemblies which are in conformity, but present a risk ",73.2,"Where an enforcing authority is not the Secretary of State and it takes measures under paragraph (1), it must notify the Secretary of State immediately",must
"Pressure equipment or assemblies which are in conformity, but present a risk ",73.3,"Where the Secretary of State receives a notice under paragraph (2) or takes measures under paragraph (1), the Secretary of State must notify the European Commission and the other member States immediately",must
"Pressure equipment or assemblies which are in conformity, but present a risk ",73.4,"The notices referred to in paragraphs (2) and (3) must include all available details about the pressure equipment or assembly and, in particular— (a) the data necessary for the identification of the pressure equipment or assembly; (b) the origin and the supply chain of the pressure equipment or assembly; (c) the nature of the risk involved; and (d) the nature and duration of the measures taken by the enforcing authority",must
Enforcement action in cases of formal non-compliance ,74.1,"Where an enforcing authority makes one of the following findings in relation to pressure equipment or an assembly, it must require a relevant economic operator to remedy the non-compliance within a specified period— (a) the CE marking— (i) has not been affixed; or (ii) has been affixed otherwise than in accordance with regulations 39 (Prohibition on improper use of CE marking) and 49 (CE marking); (b) where a notified body is involved in the production control phase for the pressure equipment or assembly, the identification number of the notified body— (i) has not been affixed; or (ii) has been affixed otherwise than in accordance with regulation 49; (c) the EU declaration of conformity— (i) has not been drawn up; (ii) has been drawn up otherwise than in accordance with regulations 11 (EU declaration of conformity and CE marking) and 48 (EU declaration of conformity); (d) the technical documentation is either not available or not complete; (e) the following information is absent, false or incomplete— (i) the information specified in regulation 13 (labelling of pressure equipment and assemblies); or (ii) the information specified in regulation 14 (instructions and safety information); (f) any other administrative requirement imposed on the manufacturer or importer under Part 2 has not been fulfilled",must
Enforcement action in cases of formal non-compliance ,74.2,"Until the specified period has elapsed, the enforcing authority must not commence proceedings under these Regulations, or take any other enforcement action under these Regulations, against the relevant economic operator in respect of the non-compliance concerned",must
Enforcement action in cases of formal non-compliance ,74.3,"Where the non-compliance referred to in paragraph (1) persists, the enforcing authority must take appropriate measures to— (a) restrict or prohibit the pressure equipment or assembly being made available on the market; (b) ensure that the pressure equipment or assembly is withdrawn; or (c) ensure that the pressure equipment or assembly is recalled",must
Restrictive measures  ,75," When enforcing these Regulations, an enforcing authority must comply with the requirements of Article 21 of RAMS (as amended from time to time) in relation to any measure to— (a) prohibit or restrict pressure equipment or an assembly being made available on the market; (b) withdraw pressure equipment or an assembly; or (c) recall pressure equipment or an assembly.  30Offences  ",must
Defence of due diligence ,78.3,"The notice must— (a) give any information in P’s possession which identifies or assists in identifying the person who— (i) committed the act or default; or (ii) supplied the information on which P relied. (b) be served on the person bringing the proceedings not less than seven clear days before— (i) in England, Wales and Northern Ireland, the hearing of the proceedings; (ii) in Scotland, the trial diet",must
Service of documents ,81.5,"If a person to be served with a document has specified an address in the United Kingdom (other than that person’s proper address) at which that person or someone on that person’s behalf will accept service, that address must also be treated as that person’s proper address",must
Appeals against notices ,84.2,An application must be made before the end of the period of 21 days beginning with the day on which the notice was served,must
Review ,87.1,The Secretary of State must from time to time— (a) carry out a review of these Regulations; (b) set out the conclusions of the review in a report; and (c) publish the report,must
Review ,87.2,"In carrying out the review the Secretary of State must, so far as is reasonable, have regard to how the Directive is implemented in other member States",must
Review ,87.3,"The report must, in particular— (a) set out the objectives intended to be achieved by the regulatory system established by these Regulations; (b) assess the extent to which those objectives are achieved; and (c) assess whether those objectives remain appropriate and, if so, the extent to which they could be achieved by a system that imposes less regulation",must
Review ,87.4,The first report under this regulation must be published before the end of the period of five years beginning on the commencement date,must
Excluded Pressure Equipment and Assemblies ,1," These Regulations do not apply to— (a) pipelines comprising piping or a system of piping designed for the conveyance of any fluid or substance to or from an installation (onshore or offshore) starting from and including the last isolation device located within the  confines of the installation and including all the annexed equipment designed specifically for pipelines, except where this                                                                                                                                             (a) Directive 97/23/EC of the European Parliament and of the Council on the approximation of the laws of the Member States relating to pressure equipment, OJ No L181, 9.7.1997, p.1.  36constitutes standard pressure equipment such as may be found in pressure reduction stations or compression stations;  (b) networks for the supply, distribution and discharge of water and associated equipment and headraces such as penstocks, pressure tunnels, pressure shafts for hydroelectric installations and their related specific accessories; (c) simple pressure vessels covered by Directive 2014/29/EU of the European Parliament and of the Council of 26 February 2014 on the harmonisation of the laws of the Member States relating to the making available on the market of simple pressure vessels(a); (d) aerosol dispensers covered by Council Directive 75/324/EEC of 20 May 1975 on the approximation of the laws of the Member States relating to aerosol dispensers(b); (e) equipment intended for the functioning of vehicles defined by the following— (i) Directive 2007/46/EC of the European Parliament and of the Council of 5 September 2007 establishing a framework for the approval of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles(c); (ii) Regulation (EU) No 167/2013 of the European Parliament and of the Council of 5 February 2013 on the approval and market surveillance of agricultural and forestry vehicles(d); and (iii) Regulation (EU) No 168/2013 of the European Parliament and of the Council of 15 January 2013 on the approval and market surveillance of two-or three-wheel vehicles and quadricycles(e). (f) Equipment classified as no higher than category I in accordance with Annex II to the Directive (as amended from time to time) and covered by one of the following European Directives— (i) Directive 2006/42/EC of the European Parliament and of the Council of 17 May 1996 on machinery, and amending Directive 95/16/EC(f); (ii) Directive 2014/33/EU of the European Parliament and of the Council of 26 February 2014 on the harmonisation of the laws of the Member States relating to lifts and safety components for lifts(g); (iii) Directive 2014/35/EU of the European Parliament and of the Council of 26 February 2014 on the harmonisation of the laws of the Member States relating to the making available on the market of electrical equipment designed for use within certain voltage limits(h); (iv) Council Directive 93/42/EEC of 14 June 1993 concerning medical devices(i); (v) Directive 2009/142/EC of the European Parliament and of the Council of 30 November 2009 relating to appliances burning gaseous fuels(j); (vi) Directive 2014/34/EU of the European Parliament and of the Council of 26 February 2014 on the harmonisation of the laws of the Member States relating to equipment and protective systems intended for use in potentially explosive atmospheres(k); (g) equipment covered by Article 346(1)(b) of the Treaty on the Functioning of the European Union;                                                                                                                                             (a) OJ No L 96, 29.3.2014 p.45 (b) OJ No L 147, 9.6.1975, p.40  (c) OJ L 263, 9.10.2007, p.1. (d) OJ L 60, 2.3.2013, p.1. (e) OJ L 60 2.3.2013, p.52. (f) OJ L 157, 9.6.2006, p.24. (g) OJ L 96, 29.3.2014, p.251. (h) OJ L 96, 29.3.2014,  p.357. (i) OJ L 169, 12.7.1993, p.1. (j) OJ L 330, 16.12.2009, p.10. (k) OJ L 96, 29.3.2014, p.309.  37(h) items specifically designed for nuclear use, failure of which may cause an emission of radioactivity; (i) well-control equipment used in the petroleum, gas or geothermal exploration and extraction industry and in underground storage which is intended to contain and/or control well pressure; this shall comprise the wellhead (Christmas tree), the blow out preventers (BOP), the piping manifolds and all their equipment upstream; (j) equipment comprising casings or machinery where the dimensioning, choice of material and manufacturing rules are based primarily on requirements for sufficient strength, rigidity and stability to meet the static and dynamic operational effects or other operational characteristics and for which pressure is not a significant design factor, which may include: (i) engines including turbines and internal combustion engines; (ii) steam engines, gas/steam turbines, turbo-generators, compressors, pumps and actuating devices;  (k) blast furnaces including the furnace cooling system, hot-blast recuperators, dust extractors and blast-furnace exhaust-gas scrubbers and direct reducing cupolas, including the furnace cooling, gas converters and pans for melting, remelting, de-gassing and casting of steel, iron and non-ferrous metals; (l) enclosures for high-voltage electrical equipment such as switchgear, control gear, transformers, and rotating machines;  (m) pressurised pipes for the containment of transmission systems, e.g. for electrical power and telephone cables; (n) ships, rockets, aircraft and mobile off-shore units, as well as equipment specifically  intended for installation on board or the propulsion thereof; (o) pressure equipment consisting of a flexible casing, e.g. tyres, air cushions, balls used for play, inflatable craft, and other similar pressure equipment; (p) exhaust and inlet silencers; (q) bottles or cans for carbonated drinks for final consumption; (r) vessels designed for the transport and distribution of drinks  having a PS·V of not more than 500 bar·L and a maximum allowable pressure not exceeding 7 bar; (s) equipment covered by Directive 2008/68/EC(a) and Directive 2010/35/EU(b) and equipment covered by the International Maritime Dangerous Goods Code and the Convention on International Civil Aviation; (t) radiators and pipes in warm water heating systems; and (u) vessels designed to contain liquids with a gas pressure above the liquid of not more than  ",shall
GENERAL ,1.3,"The manufacturer must analyse the hazards and risks in order to identify those which apply to the equipment on account of pressure, and must then design and construct it taking account of that analysis",must
No Section Title,2.1,"Pressure equipment must be designed, manufactured and checked, and if applicable equipped and installed, in such a way as to ensure its safety when put into service in accordance with the manufacturer’s instructions, or in reasonably foreseeable conditions",must
No Section Title,2.2,"In choosing the most appropriate solutions, the manufacturer must apply the principles set out below in the following order— (a) eliminate or reduce hazards as far as is reasonably practicable; (b) apply appropriate protection measures against hazards which cannot be eliminated; (c) where appropriate, inform users of residual hazards and indicate whether it is necessary to take appropriate special measures to reduce the risks at the time of installation and/or use",must
No Section Title,2.3,"Where the potential for misuse is known or can be clearly foreseen, the pressure equipment must be designed to prevent risks from such misuse or, if that is not possible, adequate warning given that the pressure equipment must not be used in that way",must
General ,3.1,Pressure equipment must be properly designed taking all relevant factors into account in order to ensure that the equipment will be safe throughout its intended life,must
General ,3.2,The design of pressure equipment must incorporate appropriate safety coefficients using comprehensive methods which are known to incorporate adequate safety margins against all relevant failure modes in a consistent manner,must
Design for adequate strength ,4.1,"Pressure equipment must be designed for loadings appropriate to its intended use and must take account of other reasonably foreseeable operating conditions, including, in particular, the following factors—  39(a) internal/external pressure; (b) ambient and operational temperatures; (c) static pressure and mass of contents in operating and test conditions; (d) traffic, wind, earthquake loading; (e) reaction forces and moments which result from the supports, attachments, piping etc.; (f) corrosion and erosion, fatigue, etc.; (g) decomposition of unstable fluids",must
Design for adequate strength ,4.2,"Various loadings which can occur at the same time must be considered, taking into account the probability of their simultaneous occurrence",must
Design for adequate strength ,4.3,"Design for adequate strength must be based on either of the following— (a) as a general rule, a calculation method, as described in paragraph 5, and supplemented if necessary by an experimental design method as described in paragraph 6; (b) an experimental design method without calculation, as described in paragraph 5, when the product of the maximum allowable pressure PS and the volume V is less than 6 000 bar L or the product PS·DN less than 3 000 bar",must
Calculation method ,5.1,"As regards pressure containment and other loading aspects— (a) the allowable stresses for pressure equipment must be limited having regard to reasonably foreseeable failure modes under operating conditions, for which purpose safety factors must be applied to eliminate fully any uncertainty arising out of manufacture, actual operational conditions, stresses, calculation models and the properties and behaviour of the material; and (b) the calculation methods used must provide sufficient safety margins consistent, where applicable, with the requirements of Part 6",must
Calculation method ,5.3,"As regards resistance— (a) appropriate design calculations must be used to establish the resistance of the pressure equipment concerned; and in particular— (i) the calculation pressures must not be less than the maximum allowable pressures and take into account static head and dynamic fluid pressures and the decomposition of unstable fluids;  (ii) where a vessel is separated into individual pressure-containing chambers, the partition wall must be designed on the basis of the highest possible chamber pressure relative to the lowest pressure possible in the adjoining chamber; (iii) the calculation temperatures must allow for appropriate safety margins; (iv) the design must take appropriate account of all possible combinations of temperature and pressure which might arise under reasonably foreseeable operating conditions for the equipment; (v) the maximum stresses and peak stress concentrations must be kept within safe limits; (vi) the calculation for pressure containment must utilise the values appropriate to the properties of the material, based on documented data, having regard to the provisions set out in Part 4 together with appropriate safety factors; material characteristics to be considered, where applicable, include—  40(aa) yield strength, 0",must
Calculation method ,5.4,"As regards stability aspects, where the calculated thickness does not allow for adequate structural stability, the necessary measures must be taken to remedy the situation taking into account the risks from transport and handling",must
Experimental design methods ,6.2,"The test programme must be clearly defined prior to testing and accepted by the notified body responsible for the design conformity assessment module, where it exists",must
Experimental design methods ,6.3,The test programme must define test conditions and criteria for acceptance or refusal and the actual values of the essential dimensions and characteristics of the materials which constitute the equipment tested must be measured before the test,must
Experimental design methods ,6.4,"Where appropriate, during tests, it must be possible to observe the critical zones of the pressure equipment with adequate instrumentation capable of registering strains and stresses with sufficient precision",must
Experimental design methods ,6.5,"The test programme must include— (a) a pressure strength test, to check that, at a pressure with a defined safety margin in relation to the maximum allowable pressure, the equipment does not exhibit significant leaks or deformation exceeding a determined threshold, for which the test pressure must—  (i) be determined on the basis of the differences between the values of the geometrical and material characteristics measures under test conditions and the values used for design purposes;  (ii) take into account the differences between the test and design temperatures; (b) where the risk of creep or fatigue exists, appropriate tests determined on the basis of the service conditions laid down for the equipment, for example hold time at specified temperatures, number of cycles at specified stress-levels; (c) where necessary, additional tests concerning other factors referred to in paragraph 4 such as corrosion and external damage",must
Provisions to ensure safe handling and operation ,7.1,"The method of operation specified for pressure equipment must be such as to preclude any reasonably foreseeable risk in operation of the equipment, and particular attention must be paid, where appropriate, to— (a) closures and openings; (b) dangerous discharge of pressure relief blow-off; (c) devices to prevent physical access whilst pressure or a vacuum exists; (d) surface temperature taking into consideration the intended use; (e) decomposition of unstable fluids",must
Provisions to ensure safe handling and operation ,7.2,"In particular, pressure equipment fitted with an access door must be equipped with an automatic or manual device enabling the user easily to ascertain that the opening will not present any risk, and where the opening can be operated quickly, the pressure equipment must be fitted with a device to prevent it being opened whenever the pressure or temperature of the fluid presents a risk",must
Means of examination ,8.1,Pressure equipment must be designed and constructed so that all necessary examinations to ensure safety can be carried out,must
Means of examination ,8.2,"Where it is necessary to ensure the continued safety of the equipment, means of determining the internal condition of the equipment must be available (such as access openings allowing physical access to the inside of the pressure equipment) so that appropriate examinations can be carried out safely and ergonomically",must
Means of draining and venting ,9," Adequate means must be provided for the draining and venting of pressure equipment at all stages of operation and testing (and in particular pressure testing) where necessary— (a) to avoid harmful effects such as water hammer, vacuum collapse, corrosion and uncontrolled chemical reactions; (b) to permit cleaning, inspection and maintenance in a safe manner. Corrosion or other chemical attack  ",must
Corrosion or other chemical attack ,10," Where necessary, adequate allowance or protection against corrosion or other chemical attack must be provided, taking due account of the intended and reasonably foreseeable use. Wear  ",must
Wear ,11," Where severe conditions of erosion or abrasion may arise, adequate measures must be taken to— (a) minimise that effect by appropriate design, for example additional material thickness, or by the use of liners or cladding materials; (b) permit replacement of parts which are most affected; and  42(c) draw attention, in the instructions referred to in paragraph 30, to measures necessary for continued safe use. Assemblies  ",must
Assemblies ,12, Assemblies must be so designed that— (a) the components to be assembled together are suitable and reliable for their duty; and (b) all the components are properly integrated and assembled in an appropriate manner. Provisions for filling and discharge  ,must
Provisions for filling and discharge ,13," Where appropriate, the pressure equipment must be so designed and provided with accessories, or provision made for their fitting, as to ensure safe filling and discharge in particular with respect to risks such as— (a) on filling— (i) overfilling or overpressurisation having regard in particular to the filling ratio and to vapour pressure at the reference temperature; (ii) instability of the pressure equipment; (b) on discharge, the uncontrolled release of the pressurised fluid; (c) on filling or discharge, unsafe connection and disconnection. Protection against exceeding the allowable limits of pressure equipment  ",must
Protection against exceeding the allowable limits of pressure equipment ,14.1,"Where, under reasonably foreseeable conditions, the allowable limits could be exceeded, the pressure equipment must be fitted with, or provision made for the fitting of, suitable protective devices, unless the equipment is intended to be protected by other protective devices within an assembly",must
Protection against exceeding the allowable limits of pressure equipment ,14.2,The suitable device or combination of such devices must be determined on the basis of the particular characteristics of the equipment or assembly,must
Safety accessories ,15.1,"Safety accessories must— (a) be so designed and constructed as to be reliable and suitable for their intended duty and take into account the maintenance and testing requirements of the devices, where applicable; (b) be independent of other functions, unless their safety function cannot be affected by such other functions; (c) comply with appropriate design principles in order to obtain suitable and reliable protection, including, in particular, fail-safe modes, redundancy, diversity and self-diagnosis",must
Pressure limiting devices ,16," Pressure limiting devices must be so designed that the pressure will not permanently exceed the maximum allowable pressure PS; provided that a short duration pressure surge in keeping with the specifications laid down in paragraph 39 is allowable, where appropriate.  43Temperature monitoring devices  ",must
Temperature monitoring devices ,17," Temperature monitoring devices must have an adequate response time on safety grounds, consistent with the measurement function. External fire  ",must
External fire ,18," Where necessary, pressure equipment must be so designed and, where appropriate, fitted with suitable accessories, or provision made for their fitting, to meet damage-limitation requirements in the event of external fire, having particular regard to its intended use. PART 3 MANUFACTURING Manufacturing procedures  ",must
Manufacturing procedures ,19," The manufacturer must ensure the competent execution of the provisions set out at the design stage by applying the appropriate techniques and relevant procedures, especially with a view to the aspects set out in this Part. Preparation of the component parts  ",must
Preparation of the component parts ,20, Preparation of the component parts (for example forming and chamfering) must not give rise to defects or cracks or changes in the mechanical characteristics likely to be detrimental to the safety of the pressure equipment. Permanent joining  ,must
Permanent joining ,21.1,Permanent joints and adjacent zones must be free of any surface or internal defects detrimental to the safety of the equipment,must
Permanent joining ,21.2,The properties of permanent joints must meet the minimum properties specified for the materials to be joined unless other relevant property values are specifically taken into account in the design calculations,must
Permanent joining ,21.3,"For pressure equipment, permanent joining of components which contribute to the pressure resistance of equipment and components which are directly attached to them must be carried out by suitably qualified personnel according to suitable operating procedures and for pressure equipment in categories II, III and IV, operating procedures and personnel must be approved by a competent third party which, at the manufacturer’s discretion, may be— (a) a notified body; or (b) a recognised third-party organisation",must
Permanent joining ,21.4,"In order to carry out the approvals referred to above, the third party must perform examinations and tests as set out in the appropriate harmonised standards or equivalent examinations and tests or must have them performed",must
Non-destructive tests ,22," For pressure equipment, non-destructive tests of permanent joints must be carried out by suitable qualified personnel provided that for pressure equipment in categories III and IV, the personnel must be approved by a recognised third-party organisation.   44Heat treatment  ",must
Heat treatment ,23," Where there is a risk that the manufacturing process will change the material properties to an extent which would impair the safety of the pressure equipment, suitable heat treatment must be applied at the appropriate stage of manufacture. Traceability  ",must
Traceability ,24," Suitable procedures must be established and maintained for identifying the material making up the components of the equipment which contribute to pressure resistance by suitable means from receipt, through production, up to the final test of the manufactured pressure equipment. Final assessment  ",must
Final assessment ,25, Pressure equipment must be subjected to final assessment in accordance with paragraphs 26 to 28. Final inspection  ,must
Final inspection ,26.1,"Pressure equipment must undergo a final inspection to assess visually and by examination of the accompanying documents compliance with the requirements of these Regulations, for which purpose tests carried out during manufacture may be taken into account",must
Final inspection ,26.2,"So far as is necessary on safety grounds, the final inspection must be carried out internally and externally on every part of the equipment, where appropriate in the course of manufacture (for example where examination during the final inspection is no longer possible)",must
Proof test ,27.1,"Final assessment of pressure equipment must include a test for the pressure containment aspect, which will normally take the form of a hydrostatic pressure test at a pressure at least equal, where appropriate, to the value laid down in paragraph 40",must
Proof test ,27.3,"Where the hydrostatic pressure test is harmful or impractical, other tests of a recognised value may be carried out provided that additional measures, such as non-destructive tests or other methods of equivalent validity, must be applied before such other tests are carried out",must
Inspection of safety devices ,28," For assemblies, the final assessment must also include a check of the safety devices intended to check full compliance with the requirements referred to in paragraph 14. Marking and labelling  ",must
